Language	Question	SPARQL
EN	How many Kudos did [[story]] receive?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?kudos WHERE {  ?story golem:title ""[[story]]"" . ?story golem:numberOfKudos ?kudos . }"
EN	Where is [[story]] published?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?publisher WHERE {  ?story golem:title ""[[story]]"" . ?story golem:publisher ?publisher . }"
EN	What is [[story]] about?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?series ?collection ?content_warning ?romantic_category (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords) ?summary WHERE { ?story golem:title ""[[story]]"" . ?story golem:keyword ?keyword . ?story golem:romanticCategory ?romantic_category . ?story golem:series ?series . ?story golem:collections ?collection . ?story golem:contentWarning ?content_warning . ?story golem:summary ?summary . }"
EN	Does a major character die in [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?warning WHERE {  ?story golem:title ""[[story]]"" . ?story golem:contentWarning ?warning . FILTER(?warning = ""Major Character Death"") }"
EN	What stories is [[character]] featured in?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?title WHERE {  ?story golem:title ?title . ?story golem:characters ""[[character]]"" . }"
EN	How many stories are uploaded per year?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (COUNT(DISTINCT ?story) as ?uploads) WHERE {  ?story golem:story_id ?id }
EN	How many [[fandom]] stories are there?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (COUNT(DISTINCT ?story) as ?stories) WHERE { ?story golem:fandom ""[[fandom]]"" . }"
EN	How many Kudos do [[fandom]] stories get on average?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT AVG(?kudos) AS ?average_number_of_kudos WHERE { ?story golem:fandom ""[[fandom]]"" . ?story golem:numberOfKudos ?kudos . }"
EN	How many authors have uploaded a story?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (COUNT(DISTINCT ?author) as ?authors) WHERE { ?story golem:author ?author . }
EN	How many stories have received no feedback?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT COUNT(?story) as ?no_feedback_stories WHERE { ?story golem:numberOfComments ?comments . ?story golem:numberOfKudos ?kudos . FILTER(?comments=0 && ?kudos=0) }
EN	Who wrote [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?author WHERE {  ?story golem:title ""[[story]]"" . ?story golem:author ?author . }"
EN	Show me summaries of [[fandom]] stories	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?summary WHERE {  ?story golem:fandom ""[[fandom]]"" . ?story golem:summary ?summary . }"
EN	What is the average word count?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (AVG(?words) as ?avg_words) WHERE { ?story golem:numberOfWords ?words . }
EN	How many stories are tagged as [[keyword]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT COUNT(DISTINCT ?story) as ?stories WHERE { ?story golem:keyword ""[[keyword]]"" . }"
EN	How many authors are represented in the data?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (COUNT(DISTINCT ?author) as ?authors) WHERE { ?story golem:author ?author . }
EN	How many stories are there on Archive of Our Own?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT COUNT(DISTINCT ?story) as ?stories WHERE { ?story golem:story_id ?id }
EN	What is the average number of comments for stories from [[fandom]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT AVG(?comments) AS ?avg_number_of_comments WHERE { ?story golem:fandom ""[[fandom]]"" . ?story golem:numberOfComments ?comments . }"
EN	What is the MSTTR of [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?msttr  WHERE { ?story golem:title ""[[story]]"" . ?story golem:MSTTR ?msttr . }"
EN	What is the Mean Segmental Token Type Ratio of [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?msttr  WHERE { ?story golem:title ""[[story]]"" . ?story golem:MSTTR ?msttr . }"
EN	What is the average word length of [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?avg_word_length WHERE { ?story golem:title ""[[story]]"" . ?story golem:averageWordLength ?avg_word_length . }"
EN	How many stories are tagged as explicit?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT COUNT(?story) as ?explicit_stories WHERE { ?story golem:rating ""Explicit"" . }"
EN	How much feedback do stories usually get?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT AVG(?kudos) AS ?average_number_of_kudos AVG(?comments) AS ?average_number_of_comments WHERE { ?story golem:numberOfKudos ?kudos . ?story golem:numberOfComments ?comments . }
ES	Muéstrame historias del fandom [[fandom]]	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:fandom ""[[fandom]]"" . ?story golem:title ?title . }"
ES	Muéstrame historias del universo [[fandom]]	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title  WHERE {  ?story golem:fandom “[[fandom]]“ . ?story golem:title ?title . }
ES	¿Está completada la historia [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?status WHERE {  ?story golem:title ""[[story]]"" . ?story golem:publicationStatus ?status . }"
ES	¿Cuándo se publicó [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?date WHERE {  ?story golem:title ""[[story]]"" . ?story golem:datePublished ?date . }"
ES	¿Cuál es la historia más reciente?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:datePublished ?date . ?story golem:title ?title . } ORDER BY DESC(?date) LIMIT 1
ES	¿Qué historias se publicaron en el 2015?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:datePublished ?date . ?story golem:title ?title . FILTER(YEAR(xsd:datetime(?date))=2015) . }
ES	¿Qué palabras clave tiene [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT  (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords ) WHERE {  ?story golem:title ""[[story]]"" . ?story golem:keyword ?keyword . }"
ES	¿La historia [[story]] incluye la palabra clave [[keyword]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?keyword WHERE {  ?story golem:title ""[[story]]"" . ?story golem:keyword ?keyword . FILTER(?keyword = ""[[keyword]]"") . }"
ES	¿Cuántos capítulos tiene [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters WHERE {  ?story golem:title ""[[story]]"" . ?story golem:numberOfChapters ?chapters . }"
ES	¿Qué calificación de contenido tiene [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?rating WHERE {  ?story golem:title ""[[story]]"" . ?story golem:rating ?rating . }"
ES	¿Cómo de larga es [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?chapters ?words WHERE {  ?story golem:title ""[[story]]"" . ?story golem:numberOfChapters ?chapters . ?story golem:numberOfWords ?words . }"
ES	La historia [[story]] tiene algún aviso de contenido?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT (GROUP_CONCAT(DISTINCT ?warning; separator="", "") AS ?warnings) WHERE {  ?story golem:title ""[[story]]"" . ?story golem:contentWarning ?warning . }"
ES	¿Quién es el autor de [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?author WHERE {  ?story golem:title ""[[story]]"" . ?story golem:author ?author . }"
ES	¿A qué colecciones pertenece [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?collections WHERE {  ?story golem:title ""[[story]]"" . ?story golem:collections ?collections . }"
ES	¿Qué personajes aparecen en [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?characters WHERE {  ?story golem:title ""[[story]]"" . ?story golem:characters ?characters . }"
ES	¿A qué serie pertenece [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?series WHERE {  ?story golem:title ""[[story]]"" . ?story golem:series ?series . }"
ES	Muéstrame todas las historias con más de un capítulo	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?title WHERE {  ?story golem:title ?title . ?story golem:numberOfChapters ?chapters . FILTER(?chapters > 1) }
ES	¿Cuántos Kudos recibió [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?kudos WHERE {  ?story golem:title ""[[story]]"" . ?story golem:numberOfKudos ?kudos . }"
ES	¿Dónde está publicada [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?publisher WHERE {  ?story golem:title ""[[story]]"" . ?story golem:publisher ?publisher . }"
ES	¿De qué trata [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?series ?collection ?content_warning ?romantic_category (GROUP_CONCAT(DISTINCT ?keyword; separator="", "") AS ?keywords) ?summary WHERE { ?story golem:title ""[[story]]"" . ?story golem:keyword ?keyword . ?story golem:romanticCategory ?romantic_category . ?story golem:series ?series . ?story golem:collections ?collection . ?story golem:contentWarning ?content_warning . ?story golem:summary ?summary . }"
ES	¿Se muere algún personaje principal en [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?warning WHERE {  ?story golem:title ""[[story]]"" . ?story golem:contentWarning ?warning . FILTER(?warning = ""Major Character Death"") }"
ES	¿En qué historias sale [[character]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?title WHERE {  ?story golem:title ?title . ?story golem:characters ""[[character]]"" . }"
ES	¿Cuántas historias se publican al año?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (COUNT(DISTINCT ?story) as ?uploads) WHERE {  ?story golem:story_id ?id }
ES	¿Cuántas historias de [[fandom]] hay publicadas?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (COUNT(DISTINCT ?story) as ?stories) WHERE { ?story golem:fandom ""[[fandom]]"" . }"
ES	¿Cuántos Kudos reciben las historias de [[fandom]] de media?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT AVG(?kudos) AS ?average_number_of_kudos WHERE { ?story golem:fandom ""[[fandom]]"" . ?story golem:numberOfKudos ?kudos . }"
ES	¿Cuántos autores han publicado alguna historia?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (COUNT(DISTINCT ?author) as ?authors) WHERE { ?story golem:author ?author . }
ES	¿Cuántas historias no han recibido ninguna reacción?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT COUNT(?story) as ?no_feedback_stories WHERE { ?story golem:numberOfComments ?comments . ?story golem:numberOfKudos ?kudos . FILTER(?comments=0 && ?kudos=0) }
ES	¿Quién escribió [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?author WHERE {  ?story golem:title ""[[story]]"" . ?story golem:author ?author . }"
ES	Muéstrame los resúmenes de historias de [[fandom]]	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT DISTINCT ?summary WHERE {  ?story golem:fandom ""[[fandom]]"" . ?story golem:summary ?summary . }"
ES	¿Cuál es el recuento promedio de palabras?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (AVG(?words) as ?avg_words) WHERE { ?story golem:numberOfWords ?words . }
ES	¿Cuántas historias están marcadas como [[keyword]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT COUNT(DISTINCT ?story) as ?stories WHERE { ?story golem:keyword ""[[keyword]]"" . }"
ES	¿Cuántos autores hay representados en los datos?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT (COUNT(DISTINCT ?author) as ?authors) WHERE { ?story golem:author ?author . }
ES	¿Cuántas historias hay en Archive of Our Own?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT COUNT(DISTINCT ?story) as ?stories WHERE { ?story golem:story_id ?id }
ES	¿Cuántos comentarios tienen de media las historias de [[fandom]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT AVG(?comments) AS ?avg_number_of_comments WHERE { ?story golem:fandom ""[[fandom]]"" . ?story golem:numberOfComments ?comments . }"
ES	¿Cuál es el MSTTR de [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?msttr  WHERE { ?story golem:title ""[[story]]"" . ?story golem:MSTTR ?msttr . }"
ES	¿Cual es el Mean Segmental Token Type Ratio de [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?msttr  WHERE { ?story golem:title ""[[story]]"" . ?story golem:MSTTR ?msttr . }"
ES	¿Cuál es la longitud de palabra promedio de [[story]]?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT ?avg_word_length WHERE { ?story golem:title ""[[story]]"" . ?story golem:averageWordLength ?avg_word_length . }"
ES	¿Cuántas historias están marcadas como explícitas?	"prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT COUNT(?story) as ?explicit_stories WHERE { ?story golem:rating ""Explicit"" . }"
ES	¿Cuántas reacciones suele conseguir una historia?	prefix golem: <https://golemlab.eu/graph/>  prefix dc: <http://purl.org/dc/terms/> prefix gc: <https://ontology.golemlab.eu/>  SELECT AVG(?kudos) AS ?average_number_of_kudos AVG(?comments) AS ?average_number_of_comments WHERE { ?story golem:numberOfKudos ?kudos . ?story golem:numberOfComments ?comments . }
